reel_cloumn1,302;307;301;305;304;308;300;300;306;301;307;304;306;304;394;394;305;306;302;307;303;303;306;392;392;301;308;302;307;394;394;302;302;305;300;307;305;301;304;306;300;303;306;301;394;306;303;305;301;306;302;307;300;300;300;305;303;307;392;392;392;305;394;394;302;302;308;302;308;304;302;305;301;306;394;302;306;300;305;301;308;304;305;394;394;303;303;301;301;305;307;304;304;300;307;301;307;394;301;304;302;392;392;392;307;301;305;394;394;307;301;307;305;302;302;305;302;394;307;302;308;301;305;304;394;394;301;307;304;308;300;300;304;300;306;394;394;307;300;305;392;392;392;304;306;302;307;303;305;300,
reel_cloumn2,308;300;300;307;303;308;302;394;394;392;302;306;303;303;305;300;306;302;307;308;302;308;300;307;302;303;394;307;301;392;392;392;308;303;304;300;300;300;394;394;305;308;306;304;305;303;394;307;304;308;302;305;300;306;302;302;307;308;307;302;306;300;308;303;308;306;301;308;304;392;392;392;305;301;307;302;302;394;394;307;304;300;300;308;303;306;304;308;303;303;305;301;306;308;308;303;307;300;394;394;308;302;307;302;305;308;307;300;306;304;308;302;308;307;302;308;394;306;392;392;392;300;307;301;308;300;304;301;301;394;394;308;302;308;308;307;302;308;304;306;303;306;308;308;302;305;303;307;301;305,
reel_cloumn3,306;301;392;392;307;304;306;300;304;301;394;306;300;308;301;394;394;304;305;300;308;301;307;302;305;300;306;301;394;394;306;302;304;301;392;392;305;302;306;301;303;302;308;307;302;302;303;394;394;301;307;308;308;301;308;300;305;392;392;392;300;303;302;307;301;308;394;394;302;308;302;306;308;300;305;301;303;301;394;394;308;300;392;392;392;302;305;300;306;302;308;301;306;302;305;394;308;302;304;300;307;305;301;308;301;306;304;307;394;304;300;307;307;308;300;305;300;306;306;300;392;392;392;301;301;394;394;301;307;303;308;303;302;305;302;308;300;304;301;303;308;302;302;303;394;306;302;306;304;300,
reel_cloumn4,308;308;306;301;306;300;303;394;300;308;308;301;302;308;308;302;300;392;392;392;307;302;305;306;301;394;394;301;307;300;306;302;303;302;306;301;304;308;307;303;306;394;394;303;302;306;300;307;302;308;303;394;394;301;392;392;392;307;302;306;301;308;304;307;304;394;394;300;308;303;308;300;306;301;303;306;392;392;392;302;307;307;394;304;300;306;308;302;306;301;308;302;308;394;394;301;303;392;392;300;307;303;301;305;300;307;300;305;394;308;303;307;302;306;300;306;394;394;302;305;304;305;308;302;304;306;302;308;308;300;308;392;392;392;306;303;308;303;308;304;306;392;302;307;301;394;303;306;304;307,
reel_cloumn5,301;306;304;303;301;306;302;307;394;394;301;303;307;301;308;308;300;304;392;392;392;306;301;394;394;303;305;302;305;300;306;303;302;305;307;302;308;308;300;394;394;301;303;392;392;392;300;303;306;301;303;302;307;300;307;305;394;394;302;301;305;300;307;300;303;302;307;305;392;392;392;302;306;303;300;394;394;303;300;307;305;301;392;308;303;300;305;394;394;300;308;304;300;306;306;308;301;307;306;394;305;300;305;302;303;308;302;392;392;302;306;394;394;305;301;307;308;302;305;305;302;308;306;303;301;394;394;302;304;300;307;300;304;307;301;392;392;300;306;308;394;394;308;303;308;302;304;308;301;304,


freespinModeId_0_1,308;300;305;303;301;303;307;306;303;302;394;306;304;308;300;304;302;392;303;304;394;301;308;300;307;300;308;303;392;392;392;303;302;305;394;306;300;306;305;300;392;302;305;300;307;308;394;392;305;301;300;308;304;302;300;301;392;392;394;304;302;306;301;392;392;308;301;307;300;308;394;307;303;308;301;300;302;302;305;300;301;301;394;304;302;308;300;307;392;305;301;301;305;301;394;301;300;302;305;307;308;302;304;301;305;301;394;305;392;308;305;302;304;300;303;308;300;307;394;392;300;306;300;304;392;392;392;307;302;302;394;302;308;308;302;302;308;302;302;307;300;308;394;306;302;305;303;392;392;392;305;305;303;306;394;307;303;303;392;392;306;307;305;303;307;302;394;306;301;305;308;300;305;307;307;300;302;302;394;306;301;301;300;392;392;302;306;304;302;302;394;392;392;305;307;301;304;302;300,
freespinModeId_0_2,305;301;305;307;302;308;392;304;308;301;308;302;308;392;307;305;304;308;307;304;394;302;308;303;306;304;305;300;392;392;392;304;302;304;394;308;303;306;304;300;301;304;300;303;301;305;394;303;392;307;392;305;301;308;305;302;300;300;394;302;305;392;392;300;304;308;301;306;304;301;308;303;301;301;305;304;306;306;300;306;304;307;394;307;306;392;392;392;308;305;308;301;303;300;394;306;303;392;305;306;308;303;300;308;301;307;394;306;301;302;301;303;308;304;302;392;307;307;394;304;308;304;303;392;307;303;392;301;392;392;394;392;303;308;308;304;392;305;300;308;305;392;394;300;302;307;304;303;304;301;300;392;301;306;394;301;301;302;302;302;303;305;302;303;307;304;394;307;300;300;303;307;306;302;308;392;392;304;394;303;305;306;301;301;306;307;308;305;304;302;394;303;302;302;303;302;306;392;300,
freespinModeId_0_3,306;302;301;302;304;306;305;307;301;305;394;307;304;300;301;308;392;305;307;305;305;300;394;307;305;392;305;392;302;303;301;305;392;300;308;301;392;307;300;301;300;301;301;306;301;304;308;304;305;307;307;301;300;303;392;301;301;305;394;303;300;301;302;303;305;303;301;300;392;392;394;302;303;302;303;303;307;305;304;308;303;302;394;300;302;301;303;305;306;308;302;306;305;392;394;303;306;300;301;303;303;306;300;300;300;304;394;306;304;305;305;308;392;302;301;301;302;301;394;300;306;307;300;301;308;304;304;392;306;307;394;301;300;392;303;392;392;304;304;300;304;305;394;308;392;300;307;392;392;300;306;301;300;300;308;301;302;302;300;304;304;308;303;394;300;302;308;306;304;306;392;302;302;302;305;302;301;392;394;392;302;305;300;306;308;302;305;307;301;303;394;392;392;308;301;304;305;305;392,
