reel_cloumn1,8;6;10;3;4;6;0;9;7;1;7;0;8;7;5;90;8;6;7;1;4;6;7;6;8;0;4;8;6;3;8;6;90;6;7;0;8;7;6;0;9;7;4;5;0;8;9;6;7;0;8;7;0;0;6;7;0;7;6;7;0;0;6;8;6;0;9;6;7;90;7;6;6;0;7;6;8;6;7;4;3;5;8;6;1;6;8;6;0;8;6;7;90;6;1;7;5;6;8;7;8;7;3;3;8;0;1;7;8;10;7;6;2;90;8;7;6;7;8;0;0;6;90;8;7;7;0;8;7;6;0;7;8;2;7;8;7;1;6;9;8;0;7;5;6;0;8;6;6;10;8;6;7;2;8;6;7;0;7;8;5;7;6;90;8;3;6;7;8;10;8;6;0;6;8;5;8;0;7;8;7;90;10;6;8;7;8;6;8;0;7;8;6;90;7;8;1;7;8;6;8;7;1,
reel_cloumn2,1;7;92;10;5;4;5;9;8;4;5;9;8;10;5;4;9;10;90;4;4;5;9;5;4;4;5;92;2;5;4;9;9;5;4;5;4;6;0;92;4;10;9;5;1;5;5;1;8;90;7;2;9;7;9;5;7;2;5;4;92;9;8;4;5;90;3;7;4;9;4;9;4;5;5;2;90;9;3;4;10;92;6;7;5;9;2;4;4;9;5;2;9;4;5;9;92;9;5;9;4;10;4;5;4;5;4;9;7;5;2;9;5;9;92;5;9;5;4;3;5;4;5;9;5;9;5;5;4;9;92;1;5;0;4;4;5;9;2;90;5;4;9;1;9;4;5;92;1;9;4;5;9;4;5;9;5;9;5;92;2;9;4;9;5;9;4;0;9;2;9;5;0;9;4;92;10;4;2;5;9;4;90;9;4;9;3;92;4;9;5;9;2;9;5;92;4;9;8;4;5;9,
reel_cloumn3,0;10;92;10;10;7;3;10;9;3;9;90;3;10;3;10;1;8;3;9;10;9;3;10;3;9;8;92;9;3;90;10;9;10;0;7;9;10;7;3;9;3;8;10;3;9;3;2;9;2;92;10;8;3;7;90;10;3;9;3;10;3;10;92;3;9;7;92;9;10;0;9;10;3;9;10;2;9;10;0;9;6;9;8;92;10;9;10;3;5;10;8;9;8;10;6;90;10;3;10;3;9;3;10;0;10;0;9;3;8;3;10;3;9;90;9;2;3;10;10;3;9;10;92;10;3;9;10;9;8;10;3;10;9;8;92;8;9;10;2;8;9;8;10;3;8;92;9;10;2;9;10;3;10;9;10;9;8;3;9;10;9;3;10;9;90;3;3;10;8;9;1;8;10;92;10;0;10;3;8;4;9;90;10;9;3;7;9;4;92;3;8;3;10;8;3;9;10;9;6;9;5,
reel_cloumn4,10;2;92;9;1;10;9;9;7;5;9;10;10;6;0;6;5;7;90;2;5;0;2;0;9;3;5;92;7;9;7;10;5;10;5;10;9;10;7;10;6;10;8;92;10;2;10;0;5;0;92;10;9;10;9;10;9;5;9;6;0;8;9;10;9;10;5;92;5;2;10;2;9;90;9;5;10;0;0;9;10;9;2;92;10;6;90;2;10;5;0;9;10;0;9;2;9;10;92;7;10;9;7;1;92;9;2;9;90;10;7;10;2;7;10;9;3;92;10;9;4;5;9;5;2;8;6;9;0;9;5;9;5;6;9;6;9;5;10;6;90;10;10;9;92;10;9;10;7;90;9;10;10;9;5;0;9;10;10;9;9;5;92;10;9;5;10;9;10;7;9;0;10;92;7;6;0;9;5;0;92;9;6;9;5;10;0;9;10;7;10;7;92;6;2;9;10;7;2;9;10,
reel_cloumn5,5;3;3;0;5;4;3;3;3;0;0;0;4;2;5;3;3;5;4;4;4;2;2;4;0;3;2;5;4;2;2;4;2;2;4;3;3;9;3;4;2;4;10;4;9;3;4;0;5;2;2;5;4;4;5;2;5;0;4;4;90;2;2;0;2;10;4;0;4;4;2;1;4;4;4;2;8;0;4;4;2;7;4;4;3;3;6;0;3;3;4;0;4;4;2;90;7;0;2;4;1;3;2;90;4;0;4;4;4;3;3;4;3;2;4;3;5;2;0;3;0;2;2;4;3;0;5;3;2;3;90;4;2;5;3;0;2;3;2;4;0;0;5;3;2;2;0;0;4;0;3;1;2;0;0;3;0;4;3;0;2;4;3;4;2;4;90;2;2;0;0;0;3;2;5;0;0;3;4;5;90;2;2;6;0;3;2;4;4;0;4;0;4;3;3;90;8;3;0;0;3;3;10,

freespinModeId_0_1,8;5;4;6;8;7;3;9;10;2;7;0;8;6;9;4;8;6;7;1;8;6;7;94;6;7;4;8;5;2;8;9;1;6;8;3;8;7;6;94;6;7;4;9;1;8;6;7;4;0;8;6;3;6;7;94;10;8;7;2;2;6;8;9;0;7;5;6;3;7;6;8;94;7;6;8;4;7;6;10;2;5;8;6;1;7;9;5;3;8;6;7;8;5;3;7;8;6;94;7,
freespinModeId_0_2,3;5;92;10;5;4;7;9;8;3;5;9;8;90;10;7;0;6;10;92;5;10;9;94;5;9;10;3;5;8;9;90;10;7;4;5;9;6;0;5;8;10;1;9;5;6;2;9;5;3;9;2;10;7;6;90;5;9;2;5;5;6;92;10;6;5;3;7;4;9;7;90;5;10;5;4;8;5;9;3;4;10;9;92;7;5;9;2;8;10;5;2;9;4;5;9;7;90;9;5;9;3;5;92;10;5;4;7;9;10;94;5;9;8;0;10;8;4;6;10;92;5;10;8;94;10;5;9;92;5;4;9;10;94;5;10;6;0;5;10;10;90;9;5;1;6;7;1;5;3,
freespinModeId_0_3,10;92;5;10;7;1;10;9;4;5;7;90;10;8;5;1;10;3;5;6;9;90;8;10;9;1;10;5;9;2;6;9;3;5;7;5;90;9;8;9;94;10;6;1;9;1;2;7;8;0;6;8;3;7;9;6;90;10;9;9;4;10;3;6;9;7;92;9;6;0;9;10;3;5;6;2;9;5;94;9;6;92;8;5;6;90;9;10;8;5;0;10;8;5;90;10;6;9;3;5;10;6;92;10;5;10;2;7;10;9;4;5;94;10;8;5;1;8;3;5;9;7;4;10;3;9;10;90;5;6;4;9;7;5;94;7;5;90;7;8;9;2;10;9;3;9;0;4;7;2,
freespinModeId_0_4,10;2;6;9;3;10;9;9;4;5;9;10;4;6;3;6;5;90;7;5;2;10;6;94;9;3;5;10;4;9;1;10;5;10;5;4;10;7;3;6;10;8;92;10;2;10;4;5;94;8;10;4;10;9;10;90;9;5;9;94;6;8;9;4;10;9;5;1;5;6;10;2;9;10;90;5;10;0;94;9;10;9;1;6;10;90;6;0;10;5;2;9;10;4;9;2;9;10;92;7;10;2;6;9;1;10;9;9;4;5;3;9;10;4;6;6;5;90;7;5;2;7;6;94;9;3;5;10;3;9;1;10;5;10;4;5;10;90;7;10;3;10;8;8;10;2;10;3;5;0,
