reel_cloumn1,94;0;0;92;4;4;0;8;6;1;94;3;3;5;0;0;0;5;7;2;2;94;0;8;9;92;1;6;6;0;8;0;94;5;8;2;2;4;1;5;94;3;7;0;0;4;4;8;94;1;6;5;0;0;4;8;0;6;6;1;5;4;94;0;5;2;1;1;7;3;6;94;0;4;6;1;1;3;0;7;5;94;1;1;8;0;6;5;8;0;4;7;92;94;5;92;7;5;3;8;
reel_cloumn2,94;1;1;92;10;92;8;7;0;6;3;92;5;1;1;9;0;0;0;7;3;92;8;7;10;94;8;0;92;7;10;92;1;1;3;3;94;8;1;92;5;4;7;0;0;9;8;92;2;7;94;8;7;92;9;10;92;9;7;0;7;7;92;3;2;0;0;10;3;9;92;1;4;7;8;0;94;9;7;94;10;1;9;10;94;0;7;2;2;8;1;1;92;94;6;92;3;8;2;2;
reel_cloumn3,94;2;2;92;9;92;8;5;6;1;92;9;0;0;10;10;0;4;10;5;4;92;7;5;9;94;1;1;8;5;9;0;10;5;92;4;94;6;92;8;10;92;5;1;1;10;7;92;2;5;0;94;92;8;10;9;0;94;5;3;92;5;94;0;6;5;92;9;4;94;6;94;2;5;7;92;6;10;5;0;9;7;10;94;0;7;94;6;92;7;7;3;92;94;7;92;4;7;7;6;
reel_cloumn4,94;3;3;92;9;0;10;0;0;3;92;2;3;6;7;7;0;10;1;1;4;92;7;8;9;94;1;1;5;8;9;0;10;8;92;4;94;1;1;92;2;8;92;10;10;1;5;0;6;8;7;94;1;1;9;9;0;1;1;10;92;8;5;0;0;8;5;9;92;94;5;10;92;8;5;4;0;0;8;9;94;5;1;1;6;5;8;0;0;5;5;10;92;94;8;92;4;5;5;2;
reel_cloumn5,5;5;92;1;1;6;9;5;94;10;3;5;0;0;7;8;0;2;8;5;3;92;5;5;94;0;0;8;0;5;6;6;92;5;3;3;8;0;0;9;10;94;5;2;2;1;1;4;5;5;1;92;3;5;94;6;4;0;5;2;2;5;1;1;4;5;7;92;3;8;7;2;0;5;0;3;4;8;92;6;6;94;8;6;0;7;5;4;4;1;1;2;3;8;92;6;3;3;7;4;

reel_cloumn_0_1,9;10;3;4;0;3;92;8;1;5;6;0;0;5;8;4;0;5;7;92;2;0;10;8;9;6;7;1;1;6;0;0;10;5;8;0;0;3;6;5;1;0;7;5;92;3;3;8;7;0;1;5;6;92;3;8;7;1;1;6;5;3;1;0;5;2;4;6;7;0;1;8;7;3;1;5;0;0;4;7;5;92;4;6;8;0;1;5;8;92;3;7;0;2;1;1;7;5;0;8;
reel_cloumn_0_2,1;3;9;0;4;1;8;92;2;10;10;4;9;0;6;5;0;4;5;7;92;3;8;7;92;4;8;9;4;7;1;1;6;92;3;3;5;0;0;0;4;6;7;4;9;5;8;92;0;7;8;3;3;7;5;92;2;5;7;4;92;7;8;0;2;7;6;1;3;5;6;92;0;7;8;3;2;5;7;92;1;6;5;1;92;8;7;2;92;8;6;4;3;9;7;92;3;8;6;2;
reel_cloumn_0_3,4;9;1;10;1;92;7;5;0;10;10;0;9;2;8;6;0;3;6;92;4;4;92;5;1;9;10;1;7;5;1;1;92;5;4;0;0;7;2;0;1;8;5;3;10;6;92;0;2;5;7;0;0;5;6;1;0;92;5;3;3;5;7;4;0;5;8;1;4;92;8;3;2;5;92;4;0;6;5;1;1;92;6;1;2;7;5;0;0;7;8;92;4;6;5;1;92;7;8;0;
reel_cloumn_0_4,2;4;3;10;0;2;92;8;3;5;2;92;10;1;5;6;0;0;6;8;92;4;7;8;92;9;10;6;3;8;2;2;92;8;4;4;0;7;1;4;10;5;0;0;9;6;7;3;92;8;7;4;4;8;6;92;3;6;8;0;0;92;7;4;3;8;5;2;4;6;92;0;1;8;92;4;3;6;8;92;2;5;6;92;1;7;8;3;3;7;9;0;4;6;8;2;4;7;92;3;
